player_name,season_label,season_year,gleague_teams,nba_teams,callup_dates,contract_type,times_called_up
Deonte Burton,2022-23,2022,['Stockton Kings'],['Sacramento Kings'],['01-30-2023'],['10-Day'],1
Derrick Walton Jr.,2021-22,2021,['Motor City Cruise'],['Detroit Pistons'],['12-25-2021'],['10-Day'],1
Devin Cannady,2020-21,2021,['Lakeland Magic'],['Orlando Magic'],['04-06-2021'],['10-Day'],1
Devin Cannady,2021-22,2021,['Lakeland Magic'],['Orlando Magic'],['04-01-2022'],['10-Day'],1
Devon Dotson,2022-23,2022,['Capital City Go-Go'],['Washington Wizards'],['11-20-2022'],['Two-Way'],1
Devontae Cacock,2019-20,2019,['South Bay Lakers'],['Los Angeles Lakers'],['12-11-2019'],['Two-Way'],1
Dmytro Skapintsev,2023-24,2023,['Westchester Knicks'],['New York Knicks'],['12-23-2023'],['Two-Way'],1
Donovan Williams,2022-23,2022,['Long Island Nets'],['Atlanta Hawks'],['01-17-2023'],['Two-Way'],1
Donta Hall,2019-20,2019,['Grand Rapids Drive'],['Detroit Pistons'],['02-22-2020'],['10-Day'],1
Donta Hall,2020-21,2021,['G League Ignite'],"['Toronto Raptors', 'Orlando Magic']","['02-26-2021', '04-13-2021']","['10-Day', '10-Day']",2
Drew Peterson,2023-24,2023,['Sioux Falls Skyforce'],['Boston Celtics'],['12-13-2023'],['Two-Way'],1
Drew Timme,2024-25,2024,['Long Island Nets'],['Brooklyn Nets'],['03-28-2025'],['Standard'],1
Dru Smith,2022-23,2022,['Sioux Falls Skyforce'],"['Miami Heat', 'Brooklyn Nets']","['11-25-2022', '01-13-2023']","['Two-Way', 'Two-Way']",2
Dusty Hannahs,2019-20,2019,['Memphis Hustle'],['Memphis Grizzlies'],['02-21-2020'],['10-Day'],1
Dylan Windler,2023-24,2023,['Westchester Knicks'],['Los Angeles Lakers'],['01-07-2024'],['Two-Way'],1
Elfrid Payton,2024-25,2024,['Birmingham Squadron'],"['New Orleans Pelicans', 'Charlotte Hornets']","['11-20-2024', '02-07-2025']","['Standard', '10-Day']",2
Elijah Harkless,2024-25,2024,['San Diego Clippers'],['Utah Jazz'],['01-01-2025'],['Two-Way'],1
Emanuel Miller,2024-25,2024,['Texas Legends'],['Chicago Bulls'],['12-28-2024'],['Two-Way'],1
Emanuel Terry,2021-22,2021,['Stockton Kings'],['Phoenix Suns'],['12-26-2021'],['10-Day'],1
Eric Mika,2019-20,2019,['Stockton Kings'],['Sacramento Kings'],['02-01-2020'],['10-Day'],1
Erik Stevenson,2024-25,2024,['Capital City Go-Go'],['Washington Wizards'],['02-17-2025'],['10-Day'],1
Ethan Thompson,2024-25,2024,['Osceola Magic'],['Orlando Magic'],['02-08-2025'],['Two-Way'],1
Eugene Omoruyi,2024-25,2024,['Raptors 905'],['Toronto Raptors'],['01-08-2025'],['10-Day'],1
Feron Hunt,2021-22,2021,['Texas Legends'],"['New Orleans Pelicans', 'New York Knicks']","['12-27-2021', '03-18-2022']","['10-Day', 'Two-Way']",2
Frank Jackson,2022-23,2022,['Salt Lake City Stars'],['Utah Jazz'],['02-22-2023'],['10-Day'],1
Frank Mason III,2020-21,2021,['Delaware Blue Coats'],['Orlando Magic'],['02-03-2021'],['Two-Way'],1
Freddie Gillespie,2020-21,2021,['Memphis Hustle'],['Toronto Raptors'],['04-08-2021'],['10-Day'],1
Freddie Gillespie,2021-22,2021,['Memphis Hustle'],['Orlando Magic'],['12-21-2021'],['10-Day'],1
Gabe Vincent,2019-20,2019,['Stockton Kings'],['Miami Heat'],['01-08-2020'],['Two-Way'],1
Gabe York,2021-22,2021,['Fort Wayne Mad Ants'],['Indiana Pacers'],['04-07-2022'],['Two-Way'],1
Gabe York,2022-23,2022,['Fort Wayne Mad Ants'],['Indiana Pacers'],['03-30-2023'],['Two-Way'],1
Gary Clark,2021-22,2021,['Mexico City Capitanes'],['New Orleans Pelicans'],['12-03-2021'],['Standard'],1
Gary Payton II,2019-20,2019,['South Bay Lakers'],['Washington Wizards'],['12-23-2019'],['Standard'],1
Gary Payton II,2020-21,2021,['Raptors 905'],['Golden State Warriors'],['04-08-2021'],['10-Day'],1
George King,2021-22,2021,['Agua Caliente Clippers'],['Dallas Mavericks'],['12-22-2021'],['10-Day'],1
Georgios Kalaitzakis,2021-22,2021,['Oklahoma City Blue'],['Oklahoma City Thunder'],['04-04-2022'],['10-Day'],1
Greg Monroe,2021-22,2021,['Capital City Go-Go'],"['Minnesota Timberwolves', 'Milwaukee Bucks', 'Utah Jazz']","['12-26-2021', '02-05-2022', '03-28-2022']","['10-Day', '10-Day', '10-Day']",3
Gui Santos,2023-24,2023,['Santa Cruz Warriors'],['Golden State Warriors'],['11-07-2023'],['Standard'],1
Hamidou Diallo,2023-24,2023,['Capital City Go-Go'],['Washington Wizards'],['01-09-2024'],['10-Day'],1
Hassani Gravett,2021-22,2021,['Lakeland Magic'],['Orlando Magic'],['12-17-2021'],['10-Day'],1
Haywood Highsmith,2021-22,2021,['Delaware Blue Coats'],['Miami Heat'],"['12-30-2021', '02-15-2022']","['10-Day', '10-Day']",2
Henri Drell,2023-24,2023,['Windy City Bulls'],['Chicago Bulls'],['12-16-2023'],['Two-Way'],1
Henry Ellenson,2020-21,2021,['Raptors 905'],['Toronto Raptors'],['03-10-2021'],['10-Day'],1
Ibou Badji,2022-23,2022,['Wisconsin Herd'],['Portland Trail Blazers'],['11-18-2022'],['Two-Way'],1
Ibou Badji,2023-24,2023,['Wisconsin Herd'],['Portland Trail Blazers'],['11-22-2023'],['Two-Way'],1
Isaiah Mobley,2024-25,2024,['Delaware Blue Coats'],['Philadelphia 76ers'],['04-13-2025'],['10-Day'],1
Isaiah Stevens,2024-25,2024,['Sioux Falls Skyforce'],['Miami Heat'],['12-26-2024'],['Two-Way'],1
Isaiah Thomas,2021-22,2021,['Grand Rapids Gold'],"['Los Angeles Lakers', 'Charlotte Hornets']","['12-17-2021', '03-02-2022']","['10-Day', '10-Day']",2
Isaiah Thomas,2023-24,2023,['Salt Lake City Stars'],['Phoenix Suns'],['03-20-2024'],['10-Day'],1
Isaiah Wong,2024-25,2024,['Salt Lake City Stars'],['Charlotte Hornets'],['12-02-2024'],['Two-Way'],1
Izaiah Brockington,2023-24,2023,['Birmingham Squadron'],['New Orleans Pelicans'],['03-03-2024'],['10-Day'],1
J.P. Macura,2019-20,2019,['Canton Charge'],['Cleveland Cavaliers'],['02-09-2020'],['10-Day'],1
Jack White,2023-24,2023,['South Bay Lakers'],['Memphis Grizzlies'],['04-10-2024'],['10-Day'],1
Jackson Rowe,2024-25,2024,['Santa Cruz Warriors'],['Golden State Warriors'],['01-28-2025'],['Two-Way'],1
Jacob Gilyard,2022-23,2022,['Memphis Hustle'],['Memphis Grizzlies'],['04-08-2023'],['Two-Way'],1
Jacob Toppin,2023-24,2023,['Westchester Knicks'],['New York Knicks'],['03-05-2024'],['Two-Way'],1
Jahlil Okafor,2024-25,2024,['Indiana Mad Ants'],['Indiana Pacers'],['02-11-2025'],['10-Day'],1
Jahmi'us Ramsey,2023-24,2023,['Oklahoma City Blue'],['Toronto Raptors'],['03-04-2024'],['10-Day'],1
Jahmir Young,2024-25,2024,['Grand Rapids Gold'],['Chicago Bulls'],['02-19-2025'],['Two-Way'],1
Jaime Echenique,2021-22,2021,['Capital City Go-Go'],['Washington Wizards'],['12-30-2021'],['10-Day'],1
Jalen Crutcher,2023-24,2023,['Birmingham Squadron'],['New Orleans Pelicans'],['02-22-2024'],['10-Day'],1
