player_name,gleague_team,nba_team,callup_date,contract_type,season_label,season_year
Elijah Harkless,San Diego Clippers,Utah Jazz,2025-01-01,Two-Way,2024-25,2024
Emanuel Miller,Texas Legends,Chicago Bulls,2024-12-28,Two-Way,2024-25,2024
Emanuel Terry,Stockton Kings,Phoenix Suns,2021-12-26,10-Day,2021-22,2021
Eric Mika,Stockton Kings,Sacramento Kings,2020-02-01,10-Day,2019-20,2019
Erik Stevenson,Capital City Go-Go,Washington Wizards,2025-02-17,10-Day,2024-25,2024
Ethan Thompson,Osceola Magic,Orlando Magic,2025-02-08,Two-Way,2024-25,2024
Eugene Omoruyi,Raptors 905,Toronto Raptors,2025-01-08,10-Day,2024-25,2024
Feron Hunt,Texas Legends,New Orleans Pelicans,2021-12-27,10-Day,2021-22,2021
Feron Hunt,Texas Legends,New York Knicks,2022-03-18,Two-Way,2021-22,2021
Frank Jackson,Salt Lake City Stars,Utah Jazz,2023-02-22,10-Day,2022-23,2022
Frank Mason III,Delaware Blue Coats,Orlando Magic,2021-02-03,Two-Way,2020-21,2021
Freddie Gillespie,Memphis Hustle,Toronto Raptors,2021-04-08,10-Day,2020-21,2021
Freddie Gillespie,Memphis Hustle,Orlando Magic,2021-12-21,10-Day,2021-22,2021
Gabe Vincent,Stockton Kings,Miami Heat,2020-01-08,Two-Way,2019-20,2019
Gabe York,Fort Wayne Mad Ants,Indiana Pacers,2022-04-07,Two-Way,2021-22,2021
Gabe York,Fort Wayne Mad Ants,Indiana Pacers,2023-03-30,Two-Way,2022-23,2022
Gary Clark,Mexico City Capitanes,New Orleans Pelicans,2021-12-03,Standard,2021-22,2021
Gary Payton II,South Bay Lakers,Washington Wizards,2019-12-23,Standard,2019-20,2019
Gary Payton II,Raptors 905,Golden State Warriors,2021-04-08,10-Day,2020-21,2021
George King,Agua Caliente Clippers,Dallas Mavericks,2021-12-22,10-Day,2021-22,2021
Georgios Kalaitzakis,Oklahoma City Blue,Oklahoma City Thunder,2022-04-04,10-Day,2021-22,2021
Greg Monroe,Capital City Go-Go,Minnesota Timberwolves,2021-12-26,10-Day,2021-22,2021
Greg Monroe,Capital City Go-Go,Milwaukee Bucks,2022-02-05,10-Day,2021-22,2021
Greg Monroe,Capital City Go-Go,Utah Jazz,2022-03-28,10-Day,2021-22,2021
Gui Santos,Santa Cruz Warriors,Golden State Warriors,2023-11-07,Standard,2023-24,2023
Hamidou Diallo,Capital City Go-Go,Washington Wizards,2024-01-09,10-Day,2023-24,2023
Hassani Gravett,Lakeland Magic,Orlando Magic,2021-12-17,10-Day,2021-22,2021
Haywood Highsmith,Delaware Blue Coats,Miami Heat,2021-12-30,10-Day,2021-22,2021
