Date,Player,Active,Team,Type,date,season,player_name,nba_team,contract_type
01/23/18,"Drew II, Larry",,Philadelphia 76ers,10-day contract,2018-01-23,2017-18,"Drew II, Larry",Philadelphia 76ers,10-day contract
01/20/18,"Eddie, Jarell",,Boston Celtics,10-day contract,2018-01-20,2017-18,"Eddie, Jarell",Boston Celtics,10-day contract
01/19/18,"Hayes-Davis, Nigel",,Los Angeles Lakers,10-day contract,2018-01-19,2017-18,"Hayes-Davis, Nigel",Los Angeles Lakers,10-day contract
01/13/18,"Collinsworth, Kyle",,Dallas Mavericks,Two 10-day contracts followed by signing for the rest of season,2018-01-13,2017-18,"Collinsworth, Kyle",Dallas Mavericks,Two 10-day contracts followed by signing for the rest of season
01/10/18,"Liggins, DeAndre",,New Orleans Pelicans,Two 10-day contracts followed by signing for the rest of season,2018-01-10,2017-18,"Liggins, DeAndre",New Orleans Pelicans,Two 10-day contracts followed by signing for the rest of season
01/05/18,"Jackson, Demetrius",,Houston Rockets,10-day contract,2018-01-05,2017-18,"Jackson, Demetrius",Houston Rockets,10-day contract
04/02/17,"Poythress, Alex",,Philadelphia 76ers,10-day contract followed by signing for the rest of season,2017-04-02,2016-17,"Poythress, Alex",Philadelphia 76ers,10-day contract followed by signing for the rest of season
03/19/17,"Eddie, Jarell",,Phoenix Suns,Two 10-day contracts (only 1st date is shown),2017-03-19,2016-17,"Eddie, Jarell",Phoenix Suns,Two 10-day contracts (only 1st date is shown)
03/19/17,"Cook, Quinn",,New Orleans Pelicans,Two 10-day contracts followed by signing for the rest of season,2017-03-19,2016-17,"Cook, Quinn",New Orleans Pelicans,Two 10-day contracts followed by signing for the rest of season
03/15/17,"Goodwin, Archie",,Brooklyn Nets,Two 10-day contracts followed by signing for the rest of season,2017-03-15,2016-17,"Goodwin, Archie",Brooklyn Nets,Two 10-day contracts followed by signing for the rest of season
03/10/17,"Williams, Troy",,Houston Rockets,10-day contract followed by signing for the rest of season,2017-03-10,2016-17,"Williams, Troy",Houston Rockets,10-day contract followed by signing for the rest of season
03/09/17,"Harris, Manny",,Dallas Mavericks,Two 10-day contracts (only 1st date is shown),2017-03-09,2016-17,"Harris, Manny",Dallas Mavericks,Two 10-day contracts (only 1st date is shown)
03/09/17,"Uthoff, Jarrod",,Dallas Mavericks,Two 10-day contracts followed by signing for the rest of season,2017-03-09,2016-17,"Uthoff, Jarrod",Dallas Mavericks,Two 10-day contracts followed by signing for the rest of season
03/08/17,"Selden, Wayne",,New Orleans Pelicans,10-day contract,2017-03-08,2016-17,"Selden, Wayne",New Orleans Pelicans,10-day contract
03/06/17,"Long, Shawn",,Philadelphia 76ers,10-day contract followed by signing for the rest of season,2017-03-06,2016-17,"Long, Shawn",Philadelphia 76ers,10-day contract followed by signing for the rest of season
03/06/17,"Crawford, Jordan",,New Orleans Pelicans,10-day contract followed by signing for the rest of season,2017-03-06,2016-17,"Crawford, Jordan",New Orleans Pelicans,10-day contract followed by signing for the rest of season
03/03/17,"Harper, Justin",,Philadelphia 76ers,10-day contract,2017-03-03,2016-17,"Harper, Justin",Philadelphia 76ers,10-day contract
02/28/17,"Nwaba, David",,Los Angeles Lakers,Two 10-day contracts followed by signing for the rest of season,2017-02-28,2016-17,"Nwaba, David",Los Angeles Lakers,Two 10-day contracts followed by signing for the rest of season
02/27/17,"Weber, Briante",,Charlotte Hornets,Two 10-day contracts followed by signing for the rest of season,2017-02-27,2016-17,"Weber, Briante",Charlotte Hornets,Two 10-day contracts followed by signing for the rest of season
02/26/17,"Bentil, Ben",,Dallas Mavericks,10-day contract,2017-02-26,2016-17,"Bentil, Ben",Dallas Mavericks,10-day contract
02/26/17,"Cook, Quinn",,Dallas Mavericks,10-day contract,2017-02-26,2016-17,"Cook, Quinn",Dallas Mavericks,10-day contract
02/25/17,"Toupane, Axel",,Milwaukee Bucks,10-day contract,2017-02-25,2016-17,"Toupane, Axel",Milwaukee Bucks,10-day contract
02/25/17,"Williams, Reggie",,New Orleans Pelicans,10-day contract,2017-02-25,2016-17,"Williams, Reggie",New Orleans Pelicans,10-day contract
02/24/17,"Jack, Jarrett",,New Orleans Pelicans,10-day contract,2017-02-24,2016-17,"Jack, Jarrett",New Orleans Pelicans,10-day contract
02/24/17,"O'Bryant, Johnny",,Charlotte Hornets,Two 10-day contracts followed by signing for the rest of season,2017-02-24,2016-17,"O'Bryant, Johnny",Charlotte Hornets,Two 10-day contracts followed by signing for the rest of season
02/23/17,"Thompson, Hollis",,New Orleans Pelicans,Two 10-day contracts (only 1st date is shown),2017-02-23,2016-17,"Thompson, Hollis",New Orleans Pelicans,Two 10-day contracts (only 1st date is shown)
02/09/17,"Williams, Derrick",,Cleveland Cavaliers,Two 10-day contracts followed by signing for the rest of season,2017-02-09,2016-17,"Williams, Derrick",Cleveland Cavaliers,Two 10-day contracts followed by signing for the rest of season
