Date,Player,Active,Team,Type,date,season,player_name,nba_team,contract_type
12/26/21,"Cumberland, Jarron",,Portland Trail Blazers,10-day contract,2021-12-26,2021-22,"Cumberland, Jarron",Portland Trail Blazers,10-day contract
12/26/21,"James, Justin",,New Orleans Pelicans,10-day contract,2021-12-26,2021-22,"James, Justin",New Orleans Pelicans,10-day contract
12/26/21,"Sirvydis, Deividas",,Detroit Pistons,10-day contract,2021-12-26,2021-22,"Sirvydis, Deividas",Detroit Pistons,10-day contract
12/26/21,"Tolliver, Anthony",,New Orleans Pelicans,10-day contract,2021-12-26,2021-22,"Tolliver, Anthony",New Orleans Pelicans,10-day contract
12/25/21,"Walton, Derrick",,Detroit Pistons,10-day contract,2021-12-25,2021-22,"Walton, Derrick",Detroit Pistons,10-day contract
12/25/21,"Buchanan, Shaq",,Memphis Grizzlies,10-day contract,2021-12-25,2021-22,"Buchanan, Shaq",Memphis Grizzlies,10-day contract
12/25/21,"Terry, Tyrell",,Memphis Grizzlies,10-day contract followed by signing for the rest of season,2021-12-25,2021-22,"Terry, Tyrell",Memphis Grizzlies,10-day contract followed by signing for the rest of season
12/25/21,"Moon, Xavier",,Los Angeles Clippers,Three or more 10-day contracts (only 1st date is shown),2021-12-25,2021-22,"Moon, Xavier",Los Angeles Clippers,Three or more 10-day contracts (only 1st date is shown)
12/25/21,"Barber, Cat",,Atlanta Hawks,10-day contract,2021-12-25,2021-22,"Barber, Cat",Atlanta Hawks,10-day contract
12/25/21,"Stanley, Cassius",,Detroit Pistons,Three or more 10-day contracts (only 1st date is shown),2021-12-25,2021-22,"Stanley, Cassius",Detroit Pistons,Three or more 10-day contracts (only 1st date is shown)
12/25/21,"Pelle, Norvel",,Boston Celtics,10-day contract,2021-12-25,2021-22,"Pelle, Norvel",Boston Celtics,10-day contract
12/25/21,"Aminu, Al-Farouq",,Boston Celtics,10-day contract,2021-12-25,2021-22,"Aminu, Al-Farouq",Boston Celtics,10-day contract
12/25/21,"Ellison, Malik",,Atlanta Hawks,10-day contract,2021-12-25,2021-22,"Ellison, Malik",Atlanta Hawks,10-day contract
12/24/21,"Collison, Darren",,Los Angeles Lakers,10-day contract,2021-12-24,2021-22,"Collison, Darren",Los Angeles Lakers,10-day contract
12/24/21,"Johnson, Stanley",,Los Angeles Lakers,Three or more 10-day contracts followed by signing for the rest of season,2021-12-24,2021-22,"Johnson, Stanley",Los Angeles Lakers,Three or more 10-day contracts followed by signing for the rest of season
12/24/21,"Oturu, Daniel",,Toronto Raptors,10-day contract,2021-12-24,2021-22,"Oturu, Daniel",Toronto Raptors,10-day contract
12/23/21,"DeLaurier, Javin",,Milwaukee Bucks,10-day contract,2021-12-23,2021-22,"DeLaurier, Javin",Milwaukee Bucks,10-day contract
12/23/21,"Weatherspoon, Quinndary",,Golden State Warriors,10-day contract,2021-12-23,2021-22,"Weatherspoon, Quinndary",Golden State Warriors,10-day contract
12/23/21,"Knight, Brandon",,Dallas Mavericks,Two 10-day contracts (only 1st date is shown),2021-12-23,2021-22,"Knight, Brandon",Dallas Mavericks,Two 10-day contracts (only 1st date is shown)
12/23/21,"Jones, Carlik",,Dallas Mavericks,10-day contract,2021-12-23,2021-22,"Jones, Carlik",Dallas Mavericks,10-day contract
12/23/21,"Iwundu, Wesley",,Atlanta Hawks,10-day contract,2021-12-23,2021-22,"Iwundu, Wesley",Atlanta Hawks,10-day contract
12/23/21,"Brown, Charlie",,Dallas Mavericks,10-day contract,2021-12-23,2021-22,"Brown, Charlie",Dallas Mavericks,10-day contract
12/23/21,"House, Danuel",,New York Knicks,10-day contract,2021-12-23,2021-22,"House, Danuel",New York Knicks,10-day contract
12/23/21,"Morgan, Juwan",,Toronto Raptors,10-day contract,2021-12-23,2021-22,"Morgan, Juwan",Toronto Raptors,10-day contract
12/23/21,"Diallo, Cheick",,Detroit Pistons,10-day contract,2021-12-23,2021-22,"Diallo, Cheick",Detroit Pistons,10-day contract
12/22/21,"Cheatham, Zylan",,Miami Heat,10-day contract,2021-12-22,2021-22,"Cheatham, Zylan",Miami Heat,10-day contract
12/22/21,"Waters, Tremont",,Toronto Raptors,10-day contract,2021-12-22,2021-22,"Waters, Tremont",Toronto Raptors,10-day contract
12/22/21,"Wilson, D.J.",,Toronto Raptors,Three or more 10-day contracts (only 1st date is shown),2021-12-22,2021-22,"Wilson, D.J.",Toronto Raptors,Three or more 10-day contracts (only 1st date is shown)
12/22/21,"McClung, Mac",,Chicago Bulls,Two 10-day contracts (only 1st date is shown),2021-12-22,2021-22,"McClung, Mac",Chicago Bulls,Two 10-day contracts (only 1st date is shown)
12/22/21,"Ilyasova, Ersan",,Chicago Bulls,10-day contract,2021-12-22,2021-22,"Ilyasova, Ersan",Chicago Bulls,10-day contract
12/22/21,"Johnson, Joe",,Boston Celtics,10-day contract,2021-12-22,2021-22,"Johnson, Joe",Boston Celtics,10-day contract
12/22/21,"Murkey, Ade",,Sacramento Kings,10-day contract,2021-12-22,2021-22,"Murkey, Ade",Sacramento Kings,10-day contract
12/22/21,"Mudiay, Emmanuel",,Sacramento Kings,10-day contract,2021-12-22,2021-22,"Mudiay, Emmanuel",Sacramento Kings,10-day contract
12/22/21,"Johnson, Tyler",,Philadelphia 76ers,10-day contract,2021-12-22,2021-22,"Johnson, Tyler",Philadelphia 76ers,10-day contract
12/22/21,"King, George",,Dallas Mavericks,10-day contract,2021-12-22,2021-22,"King, George",Dallas Mavericks,10-day contract
12/22/21,"Schakel, Jordan",,Washington Wizards,10-day contract,2021-12-22,2021-22,"Schakel, Jordan",Washington Wizards,10-day contract
12/22/21,"Scott, Tre",,Cleveland Cavaliers,10-day contract,2021-12-22,2021-22,"Scott, Tre",Cleveland Cavaliers,10-day contract
12/22/21,"Hill, Malcolm",,Atlanta Hawks,10-day contract,2021-12-22,2021-22,"Hill, Malcolm",Atlanta Hawks,10-day contract
12/22/21,"Stephenson, Lance",,Atlanta Hawks,10-day contract,2021-12-22,2021-22,"Stephenson, Lance",Atlanta Hawks,10-day contract
12/21/21,"Wright, Moses",,Los Angeles Clippers,10-day contract,2021-12-21,2021-22,"Wright, Moses",Los Angeles Clippers,10-day contract
12/21/21,"Jones, Jemerrio",,Los Angeles Lakers,10-day contract,2021-12-21,2021-22,"Jones, Jemerrio",Los Angeles Lakers,10-day contract
12/21/21,"Chriss, Marquese",,Dallas Mavericks,Three or more 10-day contracts followed by signing for the rest of season,2021-12-21,2021-22,"Chriss, Marquese",Dallas Mavericks,Three or more 10-day contracts followed by signing for the rest of season
12/21/21,"Gabriel, Wenyen",,Brooklyn Nets,10-day contract,2021-12-21,2021-22,"Gabriel, Wenyen",Brooklyn Nets,10-day contract
12/21/21,"Silva, Chris",,Minnesota Timberwolves,10-day contract,2021-12-21,2021-22,"Silva, Chris",Minnesota Timberwolves,10-day contract
12/21/21,"Tucker, Rayjon",,Minnesota Timberwolves,10-day contract,2021-12-21,2021-22,"Tucker, Rayjon",Minnesota Timberwolves,10-day contract
12/21/21,"Gillespie, Freddie",,Orlando Magic,Two 10-day contracts (only 1st date is shown),2021-12-21,2021-22,"Gillespie, Freddie",Orlando Magic,Two 10-day contracts (only 1st date is shown)
12/21/21,"Mooney, Matt",,New York Knicks,Two 10-day contracts (only 1st date is shown),2021-12-21,2021-22,"Mooney, Matt",New York Knicks,Two 10-day contracts (only 1st date is shown)
12/21/21,"Anderson, Justin",,Cleveland Cavaliers,10-day contract,2021-12-21,2021-22,"Anderson, Justin",Cleveland Cavaliers,10-day contract
12/21/21,"Kornet, Luke",,Cleveland Cavaliers,10-day contract,2021-12-21,2021-22,"Kornet, Luke",Cleveland Cavaliers,10-day contract
12/21/21,"Frazier, Tim",,Orlando Magic,Two 10-day contracts (only 1st date is shown),2021-12-21,2021-22,"Frazier, Tim",Orlando Magic,Two 10-day contracts (only 1st date is shown)
12/21/21,"Dotson, Damyean",,New York Knicks,Two 10-day contracts (only 1st date is shown),2021-12-21,2021-22,"Dotson, Damyean",New York Knicks,Two 10-day contracts (only 1st date is shown)
12/20/21,"Pinson, Theo",,Dallas Mavericks,Two 10-day contracts (only 1st date is shown),2021-12-20,2021-22,"Pinson, Theo",Dallas Mavericks,Two 10-day contracts (only 1st date is shown)
12/20/21,"Miles, C.J.",,Boston Celtics,10-day contract,2021-12-20,2021-22,"Miles, C.J.",Boston Celtics,10-day contract
12/18/21,"Jackson, Justin",,Boston Celtics,10-day contract,2021-12-18,2021-22,"Jackson, Justin",Boston Celtics,10-day contract
12/18/21,"Hall, Tyler",,New York Knicks,10-day contract,2021-12-18,2021-22,"Hall, Tyler",New York Knicks,10-day contract
12/18/21,"Harrison, Shaquille",,Brooklyn Nets,Two 10-day contracts (only 1st date is shown),2021-12-18,2021-22,"Harrison, Shaquille",Brooklyn Nets,Two 10-day contracts (only 1st date is shown)
12/18/21,"Ennis, James",,Brooklyn Nets,10-day contract,2021-12-18,2021-22,"Ennis, James",Brooklyn Nets,10-day contract
12/17/21,"Schofield, Admiral",,Orlando Magic,Two 10-day contracts (only 1st date is shown),2021-12-17,2021-22,"Schofield, Admiral",Orlando Magic,Two 10-day contracts (only 1st date is shown)
12/17/21,"Gravett, Hassani",,Orlando Magic,Two 10-day contracts (only 1st date is shown),2021-12-17,2021-22,"Gravett, Hassani",Orlando Magic,Two 10-day contracts (only 1st date is shown)
12/17/21,"Johnson, B.J.",,Orlando Magic,10-day contract,2021-12-17,2021-22,"Johnson, B.J.",Orlando Magic,10-day contract
12/17/21,"Ford, Aleem",,Orlando Magic,10-day contract,2021-12-17,2021-22,"Ford, Aleem",Orlando Magic,10-day contract
12/17/21,"Thomas, Isaiah",,Los Angeles Lakers,10-day contract,2021-12-17,2021-22,"Thomas, Isaiah",Los Angeles Lakers,10-day contract
12/17/21,"Robinson, Justin",,Sacramento Kings,10-day contract,2021-12-17,2021-22,"Robinson, Justin",Sacramento Kings,10-day contract
12/16/21,"Galloway, Langston",,Brooklyn Nets,Two 10-day contracts (only 1st date is shown),2021-12-16,2021-22,"Galloway, Langston",Brooklyn Nets,Two 10-day contracts (only 1st date is shown)
12/10/21,"McKinnie, Alfonzo",,Chicago Bulls,10-day contract followed by signing for the rest of season,2021-12-10,2021-22,"McKinnie, Alfonzo",Chicago Bulls,10-day contract followed by signing for the rest of season
12/08/21,"Johnson, Stanley",,Chicago Bulls,10-day contract,2021-12-08,2021-22,"Johnson, Stanley",Chicago Bulls,10-day contract
12/04/21,"Reed, Davon",,Denver Nuggets,Three or more 10-day contracts (only 1st date is shown),2021-12-04,2021-22,"Reed, Davon",Denver Nuggets,Three or more 10-day contracts (only 1st date is shown)
05/14/21,"Reynolds, Cameron",,Houston Rockets,10-day contract,2021-05-14,2020-21,"Reynolds, Cameron",Houston Rockets,10-day contract
05/10/21,"Oliver, Cameron",,Houston Rockets,10-day contract,2021-05-10,2020-21,"Oliver, Cameron",Houston Rockets,10-day contract
05/07/21,"Thomas, Khyri",,Houston Rockets,10-day contract,2021-05-07,2020-21,"Thomas, Khyri",Houston Rockets,10-day contract
05/04/21,"Varejao, Anderson",,Cleveland Cavaliers,Two 10-day contracts (only 1st date is shown),2021-05-04,2020-21,"Varejao, Anderson",Cleveland Cavaliers,Two 10-day contracts (only 1st date is shown)
05/02/21,"Brazdeikis, Ignas",,Orlando Magic,10-day contract followed by signing for the rest of season,2021-05-02,2020-21,"Brazdeikis, Ignas",Orlando Magic,10-day contract followed by signing for the rest of season
04/25/21,"Brown, Charlie",,Oklahoma City Thunder,Two 10-day contracts followed by signing for the rest of season,2021-04-25,2020-21,"Brown, Charlie",Oklahoma City Thunder,Two 10-day contracts followed by signing for the rest of season
04/23/21,"James, Mike",,Brooklyn Nets,Two 10-day contracts followed by signing for the rest of season,2021-04-23,2020-21,"James, Mike",Brooklyn Nets,Two 10-day contracts followed by signing for the rest of season
04/23/21,"Harper, Jared",,New York Knicks,10-day contract,2021-04-23,2020-21,"Harper, Jared",New York Knicks,10-day contract
04/20/21,"Rivers, Austin",,Denver Nuggets,10-day contract followed by signing for the rest of season,2021-04-20,2020-21,"Rivers, Austin",Denver Nuggets,10-day contract followed by signing for the rest of season
04/19/21,"Ferrell, Yogi",,Los Angeles Clippers,10-day contract followed by signing for the rest of season,2021-04-19,2020-21,"Ferrell, Yogi",Los Angeles Clippers,10-day contract followed by signing for the rest of season
04/14/21,"Bell, Jordan",,Washington Wizards,10-day contract,2021-04-14,2020-21,"Bell, Jordan",Washington Wizards,10-day contract
04/14/21,"Frazier, Tim",,Memphis Grizzlies,10-day contract followed by signing for the rest of season,2021-04-14,2020-21,"Frazier, Tim",Memphis Grizzlies,10-day contract followed by signing for the rest of season
04/13/21,"Hall, Donta",,Orlando Magic,Two 10-day contracts followed by signing for the rest of season,2021-04-13,2020-21,"Hall, Donta",Orlando Magic,Two 10-day contracts followed by signing for the rest of season
04/12/21,"Franks, Robert",,Orlando Magic,Two 10-day contracts (only 1st date is shown),2021-04-12,2020-21,"Franks, Robert",Orlando Magic,Two 10-day contracts (only 1st date is shown)
04/12/21,"Tolliver, Anthony",,Philadelphia 76ers,Two 10-day contracts followed by signing for the rest of season,2021-04-12,2020-21,"Tolliver, Anthony",Philadelphia 76ers,Two 10-day contracts followed by signing for the rest of season
04/10/21,"Kabengele, Mfiondu",,Cleveland Cavaliers,Two 10-day contracts followed by signing for the rest of season,2021-04-10,2020-21,"Kabengele, Mfiondu",Cleveland Cavaliers,Two 10-day contracts followed by signing for the rest of season
04/09/21,"Fitts, Malik",,Los Angeles Clippers,10-day contract,2021-04-09,2020-21,"Fitts, Malik",Los Angeles Clippers,10-day contract
04/08/21,"Hollis-Jefferson, Rondae",,Portland Trail Blazers,Two 10-day contracts followed by signing for the rest of season,2021-04-08,2020-21,"Hollis-Jefferson, Rondae",Portland Trail Blazers,Two 10-day contracts followed by signing for the rest of season
04/08/21,"Payton II, Gary",,Golden State Warriors,Two 10-day contracts followed by signing for the rest of season,2021-04-08,2020-21,"Payton II, Gary",Golden State Warriors,Two 10-day contracts followed by signing for the rest of season
04/08/21,"Gillespie, Freddie",,Toronto Raptors,Two 10-day contracts followed by signing for the rest of season,2021-04-08,2020-21,"Gillespie, Freddie",Toronto Raptors,Two 10-day contracts followed by signing for the rest of season
04/07/21,"Jones, Damian",,Sacramento Kings,Two 10-day contracts (only 1st date is shown),2021-04-07,2020-21,"Jones, Damian",Sacramento Kings,Two 10-day contracts (only 1st date is shown)
04/06/21,"Cannady, Devin",,Orlando Magic,10-day contract,2021-04-06,2020-21,"Cannady, Devin",Orlando Magic,10-day contract
04/05/21,"Robinson, Justin",,Oklahoma City Thunder,Two 10-day contracts (only 1st date is shown),2021-04-05,2020-21,"Robinson, Justin",Oklahoma City Thunder,Two 10-day contracts (only 1st date is shown)
04/05/21,"Cousins, DeMarcus",,Los Angeles Clippers,Two 10-day contracts followed by signing for the rest of season,2021-04-05,2020-21,"Cousins, DeMarcus",Los Angeles Clippers,Two 10-day contracts followed by signing for the rest of season
04/05/21,"Henson, John",,New York Knicks,10-day contract,2021-04-05,2020-21,"Henson, John",New York Knicks,10-day contract
04/03/21,"Thomas, Isaiah",,New Orleans Pelicans,10-day contract,2021-04-03,2020-21,"Thomas, Isaiah",New Orleans Pelicans,10-day contract
04/02/21,"Pelle, Norvel",,New York Knicks,Two 10-day contracts followed by signing for the rest of season,2021-04-02,2020-21,"Pelle, Norvel",New York Knicks,Two 10-day contracts followed by signing for the rest of season
04/01/21,"Brissett, Oshae",,Indiana Pacers,Two 10-day contracts followed by signing for the rest of season,2021-04-01,2020-21,"Brissett, Oshae",Indiana Pacers,Two 10-day contracts followed by signing for the rest of season
03/26/21,"Reynolds, Cameron",,San Antonio Spurs,10-day contract,2021-03-26,2020-21,"Reynolds, Cameron",San Antonio Spurs,10-day contract
03/22/21,"Johnson, Alize",,Brooklyn Nets,Two 10-day contracts followed by signing for the rest of season,2021-03-22,2020-21,"Johnson, Alize",Brooklyn Nets,Two 10-day contracts followed by signing for the rest of season
03/18/21,"Cook, Tyler",,Detroit Pistons,Two 10-day contracts followed by signing for the rest of season,2021-03-18,2020-21,"Cook, Tyler",Detroit Pistons,Two 10-day contracts followed by signing for the rest of season
03/12/21,"Cook, Quinn",,Cleveland Cavaliers,Two 10-day contracts (only 1st date is shown),2021-03-12,2020-21,"Cook, Quinn",Cleveland Cavaliers,Two 10-day contracts (only 1st date is shown)
03/11/21,"Jones, Mason",,Houston Rockets,10-day contract,2021-03-11,2020-21,"Jones, Mason",Houston Rockets,10-day contract
03/10/21,"Ellenson, Henry",,Toronto Raptors,10-day contract,2021-03-10,2020-21,"Ellenson, Henry",Toronto Raptors,10-day contract
02/26/21,"Hall, Donta",,Toronto Raptors,10-day contract,2021-02-26,2020-21,"Hall, Donta",Toronto Raptors,10-day contract
02/26/21,"Jones, Damian",,Los Angeles Lakers,Two 10-day contracts (only 1st date is shown),2021-02-26,2020-21,"Jones, Damian",Los Angeles Lakers,Two 10-day contracts (only 1st date is shown)
02/26/21,"Shumpert, Iman",,Brooklyn Nets,10-day contract,2021-02-26,2020-21,"Shumpert, Iman",Brooklyn Nets,10-day contract
02/26/21,"Roberson, Andre",,Brooklyn Nets,10-day contract,2021-02-26,2020-21,"Roberson, Andre",Brooklyn Nets,10-day contract
02/25/21,"Pelle, Norvel",,Sacramento Kings,10-day contract,2021-02-25,2020-21,"Pelle, Norvel",Sacramento Kings,10-day contract
02/24/21,"Cook, Tyler",,Brooklyn Nets,10-day contract,2021-02-24,2020-21,"Cook, Tyler",Brooklyn Nets,10-day contract
02/24/21,"Thornwell, Sindarius",,New Orleans Pelicans,Two 10-day contracts (only 1st date is shown),2021-02-24,2020-21,"Thornwell, Sindarius",New Orleans Pelicans,Two 10-day contracts (only 1st date is shown)
01/23/21,"Bell, Jordan",,Washington Wizards,10-day contract,2021-01-23,2020-21,"Bell, Jordan",Washington Wizards,10-day contract
01/11/21,"Ferrell, Yogi",,Cleveland Cavaliers,10-day contract,2021-01-11,2020-21,"Ferrell, Yogi",Cleveland Cavaliers,10-day contract
01/04/21,"Frazier, Tim",,Memphis Grizzlies,10-day contract,2021-01-04,2020-21,"Frazier, Tim",Memphis Grizzlies,10-day contract
03/09/20,"Noah, Joakim",,Los Angeles Clippers,10-day contract followed by signing for the rest of season,2020-03-09,2019-20,"Noah, Joakim",Los Angeles Clippers,10-day contract followed by signing for the rest of season
03/08/20,"Mac, Sheldon",,Cleveland Cavaliers,10-day contract,2020-03-08,2019-20,"Mac, Sheldon",Cleveland Cavaliers,10-day contract
03/04/20,"Pointer, Sir'Dominic",,Cleveland Cavaliers,10-day contract,2020-03-04,2019-20,"Pointer, Sir'Dominic",Cleveland Cavaliers,10-day contract
03/03/20,"Randle, Chasson",,Golden State Warriors,10-day contract,2020-03-03,2019-20,"Randle, Chasson",Golden State Warriors,10-day contract
03/02/20,"Tolliver, Anthony",,Memphis Grizzlies,10-day contract followed by signing for the rest of season,2020-03-02,2019-20,"Tolliver, Anthony",Memphis Grizzlies,10-day contract followed by signing for the rest of season
02/27/20,"Uthoff, Jarrod",,Memphis Grizzlies,10-day contract,2020-02-27,2019-20,"Uthoff, Jarrod",Memphis Grizzlies,10-day contract
02/27/20,"Mulder, Mychal",,Golden State Warriors,10-day contract followed by signing for the rest of season,2020-02-27,2019-20,"Mulder, Mychal",Golden State Warriors,10-day contract followed by signing for the rest of season
02/23/20,"Bender, Dragan",,Golden State Warriors,Two 10-day contracts (only 1st date is shown),2020-02-23,2019-20,"Bender, Dragan",Golden State Warriors,Two 10-day contracts (only 1st date is shown)
02/22/20,"Hall, Donta",,Detroit Pistons,Two 10-day contracts (only 1st date is shown),2020-02-22,2019-20,"Hall, Donta",Detroit Pistons,Two 10-day contracts (only 1st date is shown)
02/21/20,"Chealey, Joe",,Charlotte Hornets,Two 10-day contracts (only 1st date is shown),2020-02-21,2019-20,"Chealey, Joe",Charlotte Hornets,Two 10-day contracts (only 1st date is shown)
02/21/20,"Walton, Derrick",,Detroit Pistons,10-day contract,2020-02-21,2019-20,"Walton, Derrick",Detroit Pistons,10-day contract
02/21/20,"Hannahs, Dusty",,Memphis Grizzlies,10-day contract,2020-02-21,2019-20,"Hannahs, Dusty",Memphis Grizzlies,10-day contract
02/18/20,"Green, Jeff",,Houston Rockets,10-day contract followed by signing for the rest of season,2020-02-18,2019-20,"Green, Jeff",Houston Rockets,10-day contract followed by signing for the rest of season
02/12/20,"Bolden, Jonah",,Phoenix Suns,10-day contract,2020-02-12,2019-20,"Bolden, Jonah",Phoenix Suns,10-day contract
02/09/20,"Macura, J.P.",,Cleveland Cavaliers,10-day contract,2020-02-09,2019-20,"Macura, J.P.",Cleveland Cavaliers,10-day contract
02/09/20,"Newman, Malik",,Cleveland Cavaliers,10-day contract,2020-02-09,2019-20,"Newman, Malik",Cleveland Cavaliers,10-day contract
02/08/20,"Norvell, Zach",,Golden State Warriors,10-day contract,2020-02-08,2019-20,"Norvell, Zach",Golden State Warriors,10-day contract
02/08/20,"Pargo, Jeremy",,Golden State Warriors,10-day contract,2020-02-08,2019-20,"Pargo, Jeremy",Golden State Warriors,10-day contract
02/01/20,"Mika, Eric",,Sacramento Kings,10-day contract,2020-02-01,2019-20,"Mika, Eric",Sacramento Kings,10-day contract
01/30/20,"Bolden, Marques",,Cleveland Cavaliers,10-day contract,2020-01-30,2019-20,"Bolden, Marques",Cleveland Cavaliers,10-day contract
01/15/20,"Luwawu-Cabarrot, Timothe",,Brooklyn Nets,Two 10-day contracts followed by signing for the rest of season,2020-01-15,2019-20,"Luwawu-Cabarrot, Timothe",Brooklyn Nets,Two 10-day contracts followed by signing for the rest of season
01/14/20,"Clark, Gary",,Orlando Magic,Two 10-day contracts followed by signing for the rest of season,2020-01-14,2019-20,"Clark, Gary",Orlando Magic,Two 10-day contracts followed by signing for the rest of season
01/11/20,"Magette, Josh",,Orlando Magic,10-day contract,2020-01-11,2019-20,"Magette, Josh",Orlando Magic,10-day contract
01/09/20,"McKinnie, Alfonzo",,Cleveland Cavaliers,Two 10-day contracts followed by signing for the rest of season,2020-01-09,2019-20,"McKinnie, Alfonzo",Cleveland Cavaliers,Two 10-day contracts followed by signing for the rest of season
01/09/20,"Cook, Tyler",,Cleveland Cavaliers,Two 10-day contracts (only 1st date is shown),2020-01-09,2019-20,"Cook, Tyler",Cleveland Cavaliers,Two 10-day contracts (only 1st date is shown)
01/06/20,"Watson, Paul",,Atlanta Hawks,10-day contract,2020-01-06,2019-20,"Watson, Paul",Atlanta Hawks,10-day contract
01/06/20,"Anderson, Justin",,Brooklyn Nets,10-day contract,2020-01-06,2019-20,"Anderson, Justin",Brooklyn Nets,10-day contract
03/31/19,"Sampson, JaKarr",,Chicago Bulls,10-day contract,2019-03-31,2018-19,"Sampson, JaKarr",Chicago Bulls,10-day contract
03/30/19,"Creek, Mitch",,Minnesota Timberwolves,10-day contract followed by signing for the rest of season,2019-03-30,2018-19,"Creek, Mitch",Minnesota Timberwolves,10-day contract followed by signing for the rest of season
03/30/19,"Hannahs, Dusty",,Memphis Grizzlies,10-day contract,2019-03-30,2018-19,"Hannahs, Dusty",Memphis Grizzlies,10-day contract
03/24/19,"Monroe, Greg",,Boston Celtics,10-day contract,2019-03-24,2018-19,"Monroe, Greg",Boston Celtics,10-day contract
03/22/19,"Demps, Cody",,Sacramento Kings,10-day contract,2019-03-22,2018-19,"Demps, Cody",Sacramento Kings,10-day contract
03/21/19,"Machado, Scott",,Los Angeles Lakers,10-day contract,2019-03-21,2018-19,"Machado, Scott",Los Angeles Lakers,10-day contract
03/19/19,"Davis, Deyonta",,Atlanta Hawks,Two 10-day contracts followed by signing for the rest of season,2019-03-19,2018-19,"Davis, Deyonta",Atlanta Hawks,Two 10-day contracts followed by signing for the rest of season
03/15/19,"Carter-Williams, Michael",,Orlando Magic,Two 10-day contracts (only 1st date is shown),2019-03-15,2018-19,"Carter-Williams, Michael",Orlando Magic,Two 10-day contracts (only 1st date is shown)
03/15/19,"Cooke, Charles",,Miami Heat,10-day contract,2019-03-15,2018-19,"Cooke, Charles",Miami Heat,10-day contract
03/14/19,"Moreland, Eric",,Toronto Raptors,10-day contract followed by signing for the rest of season,2019-03-14,2018-19,"Moreland, Eric",Toronto Raptors,10-day contract followed by signing for the rest of season
03/13/19,"Bibbs, Justin",,Los Angeles Clippers,Two 10-day contracts (only 1st date is shown),2019-03-13,2018-19,"Bibbs, Justin",Los Angeles Clippers,Two 10-day contracts (only 1st date is shown)
03/11/19,"Ingram, Andre",,Los Angeles Lakers,10-day contract,2019-03-11,2018-19,"Ingram, Andre",Los Angeles Lakers,10-day contract
03/08/19,"Zeller, Tyler",,Atlanta Hawks,10-day contract,2019-03-08,2018-19,"Zeller, Tyler",Atlanta Hawks,10-day contract
03/01/19,"Johnson, B.J.",,Atlanta Hawks,Two 10-day contracts (only 1st date is shown),2019-03-01,2018-19,"Johnson, B.J.",Atlanta Hawks,Two 10-day contracts (only 1st date is shown)
02/27/19,"Reynolds, Cameron",,Minnesota Timberwolves,Two 10-day contracts followed by signing for the rest of season,2019-02-27,2018-19,"Reynolds, Cameron",Minnesota Timberwolves,Two 10-day contracts followed by signing for the rest of season
02/26/19,"McCall, Tahjere",,Brooklyn Nets,10-day contract,2019-02-26,2018-19,"McCall, Tahjere",Brooklyn Nets,10-day contract
02/25/19,"Canaan, Isaiah",,Milwaukee Bucks,10-day contract,2019-02-25,2018-19,"Canaan, Isaiah",Milwaukee Bucks,10-day contract
02/22/19,"Jones, Terrence",,Houston Rockets,Two 10-day contracts (only 1st date is shown),2019-02-22,2018-19,"Jones, Terrence",Houston Rockets,Two 10-day contracts (only 1st date is shown)
02/22/19,"Chiozza, Chris",,Houston Rockets,10-day contract followed by signing for the rest of season,2019-02-22,2018-19,"Chiozza, Chris",Houston Rockets,10-day contract followed by signing for the rest of season
02/21/19,"Spalding, Ray",,Phoenix Suns,10-day contract followed by signing for the rest of season,2019-02-21,2018-19,"Spalding, Ray",Phoenix Suns,10-day contract followed by signing for the rest of season
02/20/19,"Terry, Emanuel",,Miami Heat,10-day contract,2019-02-20,2018-19,"Terry, Emanuel",Miami Heat,10-day contract
02/20/19,"Sibert, Jordan",,Atlanta Hawks,10-day contract,2019-02-20,2018-19,"Sibert, Jordan",Atlanta Hawks,10-day contract
02/20/19,"Ellenson, Henry",,New York Knicks,10-day contract followed by signing for the rest of season,2019-02-20,2018-19,"Ellenson, Henry",New York Knicks,10-day contract followed by signing for the rest of season
02/20/19,"Meeks, Jodie",,Toronto Raptors,10-day contract followed by signing for the rest of season,2019-02-20,2018-19,"Meeks, Jodie",Toronto Raptors,10-day contract followed by signing for the rest of season
02/14/19,"Hopson, Scotty",,Oklahoma City Thunder,10-day contract,2019-02-14,2018-19,"Hopson, Scotty",Oklahoma City Thunder,10-day contract
02/14/19,"Solomon, Richard",,Oklahoma City Thunder,10-day contract,2019-02-14,2018-19,"Solomon, Richard",Oklahoma City Thunder,10-day contract
02/11/19,"Jenkins, John",,New York Knicks,10-day contract followed by signing for the rest of season,2019-02-11,2018-19,"Jenkins, John",New York Knicks,10-day contract followed by signing for the rest of season
02/08/19,"Brewer, Corey",,Sacramento Kings,Two 10-day contracts followed by signing for the rest of season,2019-02-08,2018-19,"Brewer, Corey",Sacramento Kings,Two 10-day contracts followed by signing for the rest of season
01/31/19,"Jenkins, John",,Washington Wizards,10-day contract,2019-01-31,2018-19,"Jenkins, John",Washington Wizards,10-day contract
01/30/19,"Canaan, Isaiah",,Minnesota Timberwolves,Two 10-day contracts (only 1st date is shown),2019-01-30,2018-19,"Canaan, Isaiah",Minnesota Timberwolves,Two 10-day contracts (only 1st date is shown)
