team_id,team_name,player_id,player_name,position
179339ce-525f-4a2d-8117-a4b33b3daebb,Osceola Magic,c2618510-970f-47ab-89ff-6f08d0468fda,Xavier Pinson,G
179339ce-525f-4a2d-8117-a4b33b3daebb,Osceola Magic,c94689c3-9390-4465-bece-5545c7d5f3f5,Javonte Smart,G
179339ce-525f-4a2d-8117-a4b33b3daebb,Osceola Magic,c9b319df-6ae5-4863-8cc9-81ed3efbd35e,Colin Castleton,C
179339ce-525f-4a2d-8117-a4b33b3daebb,Osceola Magic,e2b37833-3eef-4f35-8f3a-1f8c86b8f995,Javon Freeman-Liberty,G
2d0a4879-33d3-4af9-a12f-8081362ff548,Raptors 905,035988cb-b180-4f0d-b341-effb3ee78f5e,Patrick McCaw,G
2d0a4879-33d3-4af9-a12f-8081362ff548,Raptors 905,175b1d50-ef8d-4d65-a46a-864d73342aab,A.J. Lawson,G
2d0a4879-33d3-4af9-a12f-8081362ff548,Raptors 905,3073aacf-1df1-4c77-bad0-ed02009a1a87,David Roddy,F
2d0a4879-33d3-4af9-a12f-8081362ff548,Raptors 905,376411cd-0768-4e9d-97c0-16ecb0ed3ce1,Julian Reese,F
2d0a4879-33d3-4af9-a12f-8081362ff548,Raptors 905,3c5969e4-f562-41e3-b494-12e886f9a643,Jarkel Joiner,G
2d0a4879-33d3-4af9-a12f-8081362ff548,Raptors 905,3fa6b55d-11e9-4cf3-b100-02c399a2e500,Alijah Martin,G
2d0a4879-33d3-4af9-a12f-8081362ff548,Raptors 905,4fc2c10c-1044-42e7-a4c9-22b4f453a76f,Tyreke Key,G
2d0a4879-33d3-4af9-a12f-8081362ff548,Raptors 905,51c31a3e-f5dd-4174-8c88-d64a9fbc9efc,Jaden Bediako,C
2d0a4879-33d3-4af9-a12f-8081362ff548,Raptors 905,5cbe8c5f-59f0-45ce-a1c9-f6004c80da5d,Jared Rhoden,G
2d0a4879-33d3-4af9-a12f-8081362ff548,Raptors 905,8aaf7a44-a5a9-4f15-9499-243e61683d83,Quincy Guerrier,G-F
2d0a4879-33d3-4af9-a12f-8081362ff548,Raptors 905,8f4f7016-d993-407c-a881-8cf3bb883ff9,Tyson Degenhart,F
2d0a4879-33d3-4af9-a12f-8081362ff548,Raptors 905,97f14258-1cb6-4208-9944-f45d48854679,Lacey James,C
2d0a4879-33d3-4af9-a12f-8081362ff548,Raptors 905,9acd7af1-6d3c-4f4f-b674-fc20950be403,Chucky Hepburn,G
2d0a4879-33d3-4af9-a12f-8081362ff548,Raptors 905,ca96ae4e-14b8-43e9-8165-4d4ebc825140,Olivier Sarr,C
2d0a4879-33d3-4af9-a12f-8081362ff548,Raptors 905,d43dd68b-beba-4461-a568-6db53fae0638,AJ Hoggard,G
