season_id,season_type,team_id,player_id,full_name,position,total_games_played,total_games_started,total_minutes,total_field_goals_made,total_field_goals_att,total_field_goals_pct,total_two_points_made,total_two_points_att,total_two_points_pct,total_three_points_made,total_three_points_att,total_three_points_pct,total_blocked_att,total_free_throws_made,total_free_throws_att,total_free_throws_pct,total_offensive_rebounds,total_defensive_rebounds,total_rebounds,total_assists,total_turnovers,total_assists_turnover_ratio,total_steals,total_blocks,total_personal_fouls,total_tech_fouls,total_points,total_flagrant_fouls,total_ejections,total_foulouts,total_tech_fouls_non_unsportsmanlike,total_true_shooting_att,total_true_shooting_pct,total_efficiency,total_field_goals_at_rim_made,total_field_goals_at_rim_att,total_field_goals_at_rim_pct,total_field_goals_at_midrange_made,total_field_goals_at_midrange_att,total_field_goals_at_midrange_pct,total_usage_pct,avg_minutes,avg_points,avg_off_rebounds,avg_def_rebounds,avg_rebounds,avg_assists,avg_steals,avg_blocks,avg_turnovers,avg_personal_fouls,avg_flagrant_fouls,avg_blocked_att,avg_field_goals_made,avg_field_goals_att,avg_three_points_made,avg_three_points_att,avg_free_throws_made,avg_free_throws_att,avg_two_points_made,avg_two_points_att,avg_efficiency,avg_true_shooting_att,games_played,minutes,points,assists,rebounds,steals,blocks,turnovers,fgm,fga,tpm,tpa,ftm,fta
2024,REG,035ebd2d-69d9-4d73-a4b3-519f78071975,2cbad5f9-d467-4b0f-9f3b-98aecd350563,Logan Johnson,G,32,14,674.0,120,251,0.478,114,223,0.511,6,28,0.214,28,41,59,0.695,18,69,87,129,77,1.68,36,2,52,1,317,0,0,0,0,276.96,0.572,345,65,107,0.607,0,3,0.0,22.74,21.1,9.9,0.56,2.16,2.72,4.0,1.13,0.06,2.41,1.63,0.0,0.88,3.75,7.84,0.19,0.88,1.28,1.84,3.56,6.97,10.78,8.66,32,674.0,317,129,87,36,2,77,120,251,6,28,41,59
2024,REG,035ebd2d-69d9-4d73-a4b3-519f78071975,3e0258fd-74cd-4150-a990-ad10ab569ab8,Cameron Brown,F,27,2,563.0,70,184,0.38,31,65,0.477,39,119,0.328,9,9,16,0.563,20,74,94,28,25,1.12,20,10,57,0,191,0,0,1,0,191.04,0.5,197,20,37,0.541,1,4,0.25,16.61,20.9,7.1,0.74,2.74,3.48,1.0,0.74,0.37,0.93,2.11,0.0,0.33,2.59,6.81,1.44,4.41,0.33,0.59,1.15,2.41,7.3,7.08,27,563.0,191,28,94,20,10,25,70,184,39,119,9,16
2024,REG,035ebd2d-69d9-4d73-a4b3-519f78071975,5231f322-857e-44e0-b329-9408d936b5e4,Tommy Bruner,G,2,0,35.0,2,5,0.4,2,3,0.667,0,2,0.0,0,0,1,0.0,0,3,3,4,2,2.0,2,0,4,0,4,0,0,0,0,5.44,0.368,7,1,2,0.5,0,0,0.0,9.2,17.5,2.0,0.0,1.5,1.5,2.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,2.5,0.0,1.0,0.0,0.5,1.0,1.5,3.5,2.72,2,35.0,4,4,3,2,0,2,2,5,0,2,0,1
2024,REG,035ebd2d-69d9-4d73-a4b3-519f78071975,5c3da339-1b63-4031-8c84-ffe33795f77c,Alex Ducas,G,2,2,58.0,3,14,0.214,1,4,0.25,2,10,0.2,1,2,2,1.0,0,4,4,0,2,0.0,2,0,1,0,11,0,0,0,0,14.88,0.37,4,0,0,0.0,0,0,0.0,12.6,29.0,5.5,0.0,2.0,2.0,0.0,1.0,0.0,1.0,0.5,0.0,0.5,1.5,7.0,1.0,5.0,1.0,1.0,0.5,2.0,2.0,7.44,2,58.0,11,0,4,2,0,2,3,14,2,10,2,2
2024,REG,035ebd2d-69d9-4d73-a4b3-519f78071975,5cf9061c-e87e-4bfc-af72-b9c4d8caf2db,Justyn Hamilton,F,26,3,404.0,87,149,0.584,86,142,0.606,1,7,0.143,7,13,25,0.52,43,109,152,29,22,1.32,10,18,47,0,199,0,0,0,0,160.0,0.622,312,50,62,0.806,1,4,0.25,19.5,15.5,7.7,1.65,4.19,5.85,1.1,0.38,0.69,0.85,1.81,0.0,0.27,3.35,5.73,0.04,0.27,0.5,0.96,3.31,5.46,12.0,6.15,26,404.0,199,29,152,10,18,22,87,149,1,7,13,25
2024,REG,035ebd2d-69d9-4d73-a4b3-519f78071975,5dbccdb7-ed1d-4efa-ab54-f59b2a1276f2,Adam Flagler,G,1,1,28.0,10,20,0.5,2,9,0.222,8,11,0.727,0,2,2,1.0,2,5,7,5,1,5.0,1,0,3,0,31,0,0,0,0,20.88,0.742,33,2,4,0.5,0,1,0.0,33.83,28.0,31.0,2.0,5.0,7.0,5.0,1.0,0.0,1.0,3.0,0.0,0.0,10.0,20.0,8.0,11.0,2.0,2.0,2.0,9.0,33.0,20.88,1,28.0,31,5,7,1,0,1,10,20,8,11,2,2
2024,REG,035ebd2d-69d9-4d73-a4b3-519f78071975,60157a50-815e-41e6-9b96-a1a174788de1,Javonte Cooke,G,31,23,848.0,186,430,0.433,129,257,0.502,57,173,0.329,34,50,75,0.667,29,124,153,82,76,1.08,31,9,58,1,517,0,0,0,0,463.0,0.558,447,67,122,0.549,12,21,0.571,27.52,27.4,16.7,0.94,4.0,4.94,2.6,1.0,0.29,2.45,1.87,0.0,1.1,6.0,13.87,1.84,5.58,1.61,2.42,4.16,8.29,14.42,14.94,31,848.0,517,82,153,31,9,76,186,430,57,173,50,75
2024,REG,035ebd2d-69d9-4d73-a4b3-519f78071975,81cb0257-cdb9-4846-b541-f855c971066d,Miller Kopp,F,32,26,981.0,140,318,0.44,45,88,0.511,95,230,0.413,10,17,23,0.739,39,130,169,63,38,1.66,32,16,71,0,405,0,0,0,0,328.12,0.617,463,24,47,0.511,2,7,0.286,16.16,30.7,12.7,1.22,4.06,5.28,2.0,1.0,0.5,1.19,2.22,0.0,0.31,4.38,9.94,2.97,7.19,0.53,0.72,1.41,2.75,14.47,10.25,32,981.0,405,63,169,32,16,38,140,318,95,230,17,23
2024,REG,035ebd2d-69d9-4d73-a4b3-519f78071975,86e1931c-1b98-463e-9ad4-3e1ea9e38f31,Noah Starkey,C,30,24,660.0,84,151,0.556,82,145,0.566,2,6,0.333,17,23,32,0.719,72,124,196,68,31,2.19,12,36,80,0,212,1,0,0,1,165.08,0.642,417,70,111,0.631,0,1,0.0,12.86,22.0,7.1,2.4,4.13,6.53,2.3,0.4,1.2,1.03,2.67,0.03,0.57,2.8,5.03,0.07,0.2,0.77,1.07,2.73,4.83,13.9,5.5,30,660.0,212,68,196,12,36,31,84,151,2,6,23,32
2024,REG,035ebd2d-69d9-4d73-a4b3-519f78071975,c44907d4-1082-4bbf-8883-47cbdfff4dcd,Malevy Leons,F,34,18,908.0,121,244,0.496,100,184,0.543,21,60,0.35,22,48,61,0.787,95,153,248,75,45,1.67,45,30,86,0,341,0,0,1,0,270.84,0.63,558,64,107,0.598,2,8,0.25,15.06,26.7,10.0,2.79,4.5,7.29,2.2,1.32,0.88,1.32,2.53,0.0,0.65,3.56,7.18,0.62,1.76,1.41,1.79,2.94,5.41,16.41,7.97,34,908.0,341,75,248,45,30,45,121,244,21,60,48,61
2024,REG,035ebd2d-69d9-4d73-a4b3-519f78071975,dae289ed-2be3-40fb-83bd-5071b6f677b1,Branden Carlson,C,7,7,210.0,45,92,0.489,29,43,0.674,16,49,0.327,3,11,11,1.0,13,52,65,17,10,1.7,4,22,14,0,130,0,0,0,0,96.84,0.671,181,23,31,0.742,2,4,0.5,22.03,30.0,18.6,1.86,7.43,9.29,2.4,0.57,3.14,1.43,2.0,0.0,0.43,6.43,13.14,2.29,7.0,1.57,1.57,4.14,6.14,25.86,13.83,7,210.0,130,17,65,4,22,10,45,92,16,49,11,11
2024,REG,035ebd2d-69d9-4d73-a4b3-519f78071975,f95f6570-6d59-4ee6-b00c-a9b898fbf517,Cormac Ryan,G,27,15,745.0,101,250,0.404,44,90,0.489,57,160,0.356,9,54,55,0.982,15,87,102,48,31,1.55,22,5,81,0,337,0,0,1,1,274.2,0.615,333,23,39,0.59,4,14,0.286,17.74,27.6,12.5,0.56,3.22,3.78,1.8,0.81,0.19,1.15,3.0,0.0,0.33,3.74,9.26,2.11,5.93,2.0,2.04,1.63,3.33,12.33,10.16,27,745.0,337,48,102,22,5,31,101,250,57,160,54,55
